Product / Metric	Formula	Explanation
 NNM - Net 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Net")) 	 Net NNM. 
 NNM - Sub/Txf In 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Sub/Txf In")) 	 NNM inflows. 
 NNM - Red/Txf Out 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Red/Txf Out")) 	 NNM outflows. 
 NNM - CASA 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="CASA")) 	 CASA within NNM (if applicable). 
 NNM - TD 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="TD")) 	 TD within NNM. 
 NNM - Others 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Others")) 	 Other deposit types within NNM. 
 NNM - Priority 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Priority")) 	 Priority within NNM. 
 NNM - Premium 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Premium")) 	 Premium within NNM. 
 NNM - Intl 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="Intl")) 	 Intl within NNM. 
 NNM - - (dash) 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NNM")*($H$93:$H$321="-")) 	 Dash H for NNM. 
 NTB - Total 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Total")) 	 Total NTB. 
 NTB - Net 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Net")) 	 Net NTB. 
 NTB - Sub/Txf In 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Sub/Txf In")) 	 NTB inflows. 
 NTB - Red/Txf Out 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Red/Txf Out")) 	 NTB outflows. 
 NTB - CASA 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="CASA")) 	 CASA for NTB. 
 NTB - TD 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="TD")) 	 TD for NTB. 
 NTB - Others 	 =SUMPRODUCT(IFERROR(FJ$93:FJ$321,0),($G$93:$G$321="NTB")*($H$93:$H$321="Others")) 	 Others for NTB. 
